id,role,salary,status
f88ad3c8,Security Expert,$132k,Open
68375005,Security Expert,$133k,Open
3553eff9,Security Expert,$138k,Open
0222a70f,Security Expert,$139k,Open
8f9f26d1,Security Expert,$142k,Open
48b8821e,Security Expert,$124k,Open
8affd878,Security Expert,$112k,Open
489037ab,Security Expert,$98k,Open
35c3fa4c,Security Expert,$114k,Open
7c3be3c2,Security Expert,$82k,Open
501ea96c,Security Expert,$122k,Open
b93421c2,Security Expert,$118k,Open
8da95129,Security Expert,$130k,Open
f2b5e4e8,Security Expert,$90k,Open
5e65d114,Security Expert,$150k,Open
0d60f33a,Security Expert,$136k,Open
ca1b9ba6,Security Expert,$98k,Open
ff905638,Security Expert,$111k,Open
781dfdd0,Security Expert,$110k,Open
8818c057,Security Expert,$142k,Open
efdbc191,Security Expert,$124k,Open
df0b5c3e,Security Expert,$145k,Open
3f5e2d4c,Security Expert,$85k,Open
4f14a028,Security Expert,$91k,Open
4989a992,Security Expert,$138k,Open
e6d86a67,Security Expert,$131k,Open
7f2fd3a2,Security Expert,$120k,Open
c0a00915,Security Expert,$131k,Open
66ca0f4d,Security Expert,$146k,Open
1ad9bd51,Security Expert,$127k,Open
7aab0cf3,Security Expert,$115k,Open
3e49967a,Security Expert,$147k,Open
3c3b021a,Security Expert,$140k,Open
5774c44e,Security Expert,$137k,Open
c62a8896,Security Expert,$80k,Open
36da2948,Security Expert,$105k,Open
ebd6ddbf,Security Expert,$118k,Open
66f5cfa6,Security Expert,$127k,Open
00b66b54,Security Expert,$101k,Open
16311709,Security Expert,$113k,Open
7ab37f89,Security Expert,$119k,Open
277d9075,Security Expert,$105k,Open
d349af92,Security Expert,$95k,Open
75dcad6e,Security Expert,$141k,Open
1ffbe8e5,Security Expert,$139k,Open
c877ab5b,Security Expert,$145k,Open
a1a4b0df,Security Expert,$130k,Open
026c4532,Security Expert,$131k,Open
906f4365,Security Expert,$141k,Open
4348628e,Security Expert,$108k,Open
4960442f,Security Expert,$86k,Open
41117f72,Security Expert,$140k,Open
e835c734,Security Expert,$122k,Open
b9a07f86,Security Expert,$94k,Open
f7203589,Security Expert,$109k,Open
5b8075c6,Security Expert,$88k,Open
5acf6723,Security Expert,$132k,Open
ea7c19e1,Security Expert,$103k,Open
46a9d608,Security Expert,$137k,Open
f130c93c,Security Expert,$113k,Open
9ad12ed0,Security Expert,$142k,Open
3a50984e,Security Expert,$133k,Open
4034d675,Security Expert,$133k,Open
ca3b2078,Security Expert,$138k,Open
209fdb4a,Security Expert,$146k,Open
e5067f39,Security Expert,$123k,Open
7067891c,Security Expert,$109k,Open
7986a52f,Security Expert,$102k,Open
02d64590,Security Expert,$146k,Open
d48ba795,Security Expert,$112k,Open
830223dc,Security Expert,$150k,Open
ffd7189f,Security Expert,$90k,Open
9f1492c1,Security Expert,$108k,Open
682dedff,Security Expert,$89k,Open
dcdeefba,Security Expert,$139k,Open
dfa50eed,Security Expert,$126k,Open
dce0b183,Security Expert,$112k,Open
0e1d3100,Security Expert,$124k,Open
cf484846,Security Expert,$113k,Open
c60f387c,Security Expert,$115k,Open
0fab4cab,Security Expert,$123k,Open
9ee53e0f,Security Expert,$134k,Open
879adf01,Security Expert,$99k,Open
7c986b64,Security Expert,$130k,Open
9cbd7142,Security Expert,$101k,Open
3362627f,Security Expert,$150k,Open
74404ea3,Security Expert,$121k,Open
5eb6a8b4,Security Expert,$123k,Open
92fe10ac,Security Expert,$82k,Open
5517c316,Security Expert,$132k,Open
c1ac4bb9,Security Expert,$140k,Open
2a689e26,Security Expert,$126k,Open
daa0ed13,Security Expert,$99k,Open
7acb99ad,Security Expert,$80k,Open
e7a84fc0,Security Expert,$123k,Open
dc23347f,Security Expert,$93k,Open
5e817310,Security Expert,$106k,Open
5629195a,Security Expert,$129k,Open
795d2f0a,Security Expert,$95k,Open
22141b17,Security Expert,$107k,Open
42e326c3,Security Expert,$106k,Open
5aa00a02,Security Expert,$94k,Open
61ce07bb,Security Expert,$137k,Open
476f6a4a,Security Expert,$149k,Open
fa0f6caa,Security Expert,$80k,Open
61a57fa5,Security Expert,$119k,Open
3c5e9112,Security Expert,$134k,Open
05a9f013,Security Expert,$138k,Open
44765da2,Security Expert,$128k,Open
d95199a2,Security Expert,$91k,Open
a5395140,Security Expert,$122k,Open
9c31d53e,Security Expert,$86k,Open
a1e39f42,Security Expert,$94k,Open
a04ff7bd,Security Expert,$129k,Open
a36ff458,Security Expert,$129k,Open
21da173c,Security Expert,$135k,Open
ef6bb260,Security Expert,$144k,Open
af3057fc,Security Expert,$140k,Open
82e6f762,Security Expert,$102k,Open
9469f41d,Security Expert,$119k,Open
5f83b81a,Security Expert,$88k,Open
72ec3e2f,Security Expert,$85k,Open
79726c89,Security Expert,$141k,Open
42d2f8ad,Security Expert,$138k,Open
a3e629a5,Security Expert,$115k,Open
f1682eb9,Security Expert,$106k,Open
805e24a0,Security Expert,$114k,Open
14d1a75d,Security Expert,$120k,Open
8760c146,Security Expert,$110k,Open
332eefe7,Security Expert,$133k,Open
acf3b740,Security Expert,$142k,Open
16d25e7f,Security Expert,$138k,Open
6cf9471c,Security Expert,$135k,Open
db44662a,Security Expert,$84k,Open
a49ae4d4,Security Expert,$86k,Open
068937ae,Security Expert,$96k,Open
a6d22e99,Security Expert,$84k,Open
5d031213,Security Expert,$109k,Open
cc61f1e5,Security Expert,$129k,Open
2ecd7b7a,Security Expert,$140k,Open
fd98d42d,Security Expert,$136k,Open
872c0c46,Security Expert,$99k,Open
d45cd9c8,Security Expert,$88k,Open
a86938ba,Security Expert,$97k,Open
face8d11,Security Expert,$138k,Open
9f3e87ba,Security Expert,$114k,Open
6b3a5a52,Security Expert,$101k,Open
2ac956a9,Security Expert,$138k,Open
a1bf306d,Security Expert,$124k,Open
bf282cb2,Security Expert,$84k,Open
42cf04e9,Security Expert,$132k,Open
62dccb0a,Security Expert,$127k,Open
ef70c243,Security Expert,$100k,Open
bcb009f2,Security Expert,$147k,Open
55ef3dc3,Security Expert,$139k,Open
62480a57,Security Expert,$133k,Open
ec7cfd60,Security Expert,$93k,Open
ea10d0cf,Security Expert,$107k,Open
f66ede78,Security Expert,$87k,Open
85e76958,Security Expert,$129k,Open
04612ad2,Security Expert,$122k,Open
59b77656,Security Expert,$84k,Open
56839a01,Security Expert,$116k,Open
f8bce3fa,Security Expert,$84k,Open
8437e211,Security Expert,$98k,Open
b03fb2aa,Security Expert,$148k,Open
27492378,Security Expert,$133k,Open
e632afa3,Security Expert,$104k,Open
133049ec,Security Expert,$96k,Open
b627ac48,Security Expert,$81k,Open
a095c041,Security Expert,$150k,Open
f7be0e85,Security Expert,$138k,Open
b8821e4c,Security Expert,$120k,Open
c4fbb9e9,Security Expert,$92k,Open
92bacdcb,Security Expert,$121k,Open
6428947f,Security Expert,$136k,Open
acdc543b,Security Expert,$97k,Open
0f1d3b38,Security Expert,$95k,Open
43697fd5,Security Expert,$139k,Open
9ac24506,Security Expert,$146k,Open
c668d3f2,Security Expert,$120k,Open
f088e22e,Security Expert,$128k,Open
2eb07548,Security Expert,$102k,Open
e0e2857e,Security Expert,$141k,Open
d5c62d4c,Security Expert,$91k,Open
c5618e29,Security Expert,$114k,Open
6c77ad10,Security Expert,$107k,Open
ab13fee8,Security Expert,$105k,Open
dcc0c523,Security Expert,$88k,Open
49659715,Security Expert,$130k,Open
51c2e389,Security Expert,$131k,Open
ecbc7465,Security Expert,$100k,Open
3ef38aec,Security Expert,$83k,Open
d7b5a1f8,Security Expert,$110k,Open
d91410ca,Security Expert,$92k,Open
622ced38,Security Expert,$85k,Open
dae0e748,Security Expert,$145k,Open
c5804059,Security Expert,$142k,Open
5d24ac1e,Security Expert,$86k,Open
60ae5ce7,Security Expert,$87k,Open
2ae70da6,Security Expert,$84k,Open
e2d73c5d,Security Expert,$102k,Open
aba8a064,Security Expert,$135k,Open
9ce5b449,Security Expert,$144k,Open
b9e32a47,Security Expert,$93k,Open
5e99f0e6,Security Expert,$119k,Open
79082e73,Security Expert,$147k,Open
f9a3db62,Security Expert,$106k,Open
5885f094,Security Expert,$130k,Open
e1205921,Security Expert,$121k,Open
f62a4eda,Security Expert,$83k,Open
ee6903f3,Security Expert,$129k,Open
66365c6b,Security Expert,$127k,Open
b61748ff,Security Expert,$117k,Open
23eb6678,Security Expert,$123k,Open
5493e2a5,Security Expert,$120k,Open
c9fbf347,Security Expert,$113k,Open
c75e4fda,Security Expert,$135k,Open
fe68d845,Security Expert,$118k,Open
905237d8,Security Expert,$100k,Open
75cc8c26,Security Expert,$130k,Open
c3c83db6,Security Expert,$80k,Open
8972a773,Security Expert,$145k,Open
de5f5126,Security Expert,$94k,Open
3a409f6c,Security Expert,$148k,Open
d8eab006,Security Expert,$134k,Open
2677ab3e,Security Expert,$134k,Open
d243025b,Security Expert,$136k,Open
811c6967,Security Expert,$119k,Open
bb2a4619,Security Expert,$146k,Open
4b6be5af,Security Expert,$114k,Open
a72084de,Security Expert,$114k,Open
aad55d80,Security Expert,$117k,Open
59be948b,Security Expert,$120k,Open
64f0c962,Security Expert,$113k,Open
f83b693a,Security Expert,$111k,Open
a899273e,Security Expert,$148k,Open
e1369888,Security Expert,$148k,Open
a89311dd,Security Expert,$124k,Open
3fe18ebb,Security Expert,$140k,Open
b2e8e74c,Security Expert,$147k,Open
710d750f,Security Expert,$118k,Open
11572dcd,Security Expert,$147k,Open
8a4d6477,Security Expert,$140k,Open
af0cc3e5,Security Expert,$106k,Open
8c62e49d,Security Expert,$139k,Open
d9412972,Security Expert,$135k,Open
adb9de8c,Security Expert,$141k,Open
91343621,Security Expert,$150k,Open
fee5b98f,Security Expert,$80k,Open
2f6abc6d,Security Expert,$111k,Open
968b1376,Security Expert,$111k,Open
7dacfb64,Security Expert,$95k,Open
d0faafc4,Security Expert,$141k,Open
16db48ee,Security Expert,$111k,Open
0b4451ad,Security Expert,$143k,Open
6549438a,Security Expert,$98k,Open
55e2d3d7,Security Expert,$96k,Open
9912a1a5,Security Expert,$147k,Open
92628711,Security Expert,$92k,Open
463c79e7,Security Expert,$127k,Open
9e1a2987,Security Expert,$102k,Open
bc73d9f8,Security Expert,$122k,Open
a22ea541,Security Expert,$127k,Open
857f10f7,Security Expert,$140k,Open
95aa6699,Security Expert,$137k,Open
e20617ff,Security Expert,$126k,Open
b85bd0e5,Security Expert,$128k,Open
eb1bfa57,Security Expert,$83k,Open
2b8c93fd,Security Expert,$122k,Open
112c6441,Security Expert,$122k,Open
c53c56f6,Security Expert,$150k,Open
9a5c89b0,Security Expert,$106k,Open
036aa7a3,Security Expert,$93k,Open
c4a50d5a,Security Expert,$148k,Open
a21b7358,Security Expert,$109k,Open
0f4938a9,Security Expert,$142k,Open
7c2f7291,Security Expert,$122k,Open
b5343096,Security Expert,$141k,Open
31bad153,Security Expert,$81k,Open
350a37ad,Security Expert,$113k,Open
d7a7931b,Security Expert,$91k,Open
a6919133,Security Expert,$85k,Open
112073da,Security Expert,$85k,Open
83b22f34,Security Expert,$118k,Open
ff5ba586,Security Expert,$108k,Open
a44b32e0,Security Expert,$113k,Open
88a937ce,Security Expert,$94k,Open
3362b60d,Security Expert,$82k,Open
b5422532,Security Expert,$101k,Open
0b9d5cb8,Security Expert,$105k,Open
fd40cb11,Security Expert,$104k,Open
4e7b2165,Security Expert,$133k,Open
67f7d8aa,Security Expert,$84k,Open
2c10d9fc,Security Expert,$88k,Open
adba16b8,Security Expert,$147k,Open
c1a8b3e2,Security Expert,$134k,Open
b8650fad,Security Expert,$132k,Open
cfb6282b,Security Expert,$109k,Open
c9deb5ad,Security Expert,$131k,Open
2514c228,Security Expert,$118k,Open
e4ed1161,Security Expert,$120k,Open
1f9d11c2,Security Expert,$108k,Open
8ebb40ab,Security Expert,$93k,Open
737a828c,Security Expert,$141k,Open
7d49f4d8,Security Expert,$103k,Open
2f7cbece,Security Expert,$146k,Open
6e6599c5,Security Expert,$93k,Open
baab3da7,Security Expert,$88k,Open
2130fd81,Security Expert,$120k,Open
62d3d538,Security Expert,$95k,Open
cdcfc634,Security Expert,$140k,Open
d9562b2d,Security Expert,$101k,Open
0be6d7de,Security Expert,$106k,Open
fd1c45ee,Security Expert,$142k,Open
40560edc,Security Expert,$89k,Open
1b87f5fc,Security Expert,$122k,Open
44215ba8,Security Expert,$121k,Open
ca1b8534,Security Expert,$129k,Open
c597c391,Security Expert,$93k,Open
f9830fe0,Security Expert,$89k,Open
e9a6e88d,Security Expert,$83k,Open
1a38064f,Security Expert,$133k,Open
ea65595a,Security Expert,$128k,Open
6bb9051d,Security Expert,$143k,Open
52eb8302,Security Expert,$121k,Open
d6803dae,Security Expert,$140k,Open
da420fc6,Security Expert,$88k,Open
755ae8f5,Security Expert,$92k,Open
51415f92,Security Expert,$106k,Open
23a8986d,Security Expert,$85k,Open
dc9ad0cb,Security Expert,$91k,Open
da628d81,Security Expert,$149k,Open
e7550e80,Security Expert,$104k,Open
98c3e137,Security Expert,$89k,Open
706d486a,Security Expert,$122k,Open
7d3764bd,Security Expert,$127k,Open
526dd0bd,Security Expert,$104k,Open
30a8dd54,Security Expert,$147k,Open
6588d787,Security Expert,$137k,Open
fd1a6104,Security Expert,$83k,Open
27ca879f,Security Expert,$114k,Open
3c8dd492,Security Expert,$147k,Open
2dfb532c,Security Expert,$100k,Open
8dd1d91c,Security Expert,$91k,Open
90827da8,Security Expert,$141k,Open
c179158f,Security Expert,$136k,Open
9ed36be0,Security Expert,$82k,Open
d1a6681e,Security Expert,$106k,Open
eb87702f,Security Expert,$124k,Open
f3257c67,Security Expert,$116k,Open
d9b7e68f,Security Expert,$80k,Open
9404f0da,Security Expert,$134k,Open
a82add6d,Security Expert,$123k,Open
cae9b206,Security Expert,$103k,Open
0f317946,Security Expert,$120k,Open
70ec2806,Security Expert,$107k,Open
1731a304,Security Expert,$137k,Open
04b84704,Security Expert,$97k,Open
b7f0980b,Security Expert,$82k,Open
15823f93,Security Expert,$80k,Open
f5223819,Security Expert,$100k,Open
6e0ef4a9,Security Expert,$128k,Open
171a35a9,Security Expert,$125k,Open
76062fb8,Security Expert,$124k,Open
10322b4a,Security Expert,$100k,Open
e140391e,Security Expert,$150k,Open
b4c954b5,Security Expert,$95k,Open
aba5a464,Security Expert,$129k,Open
c3b8e73b,Security Expert,$85k,Open
332dd3ce,Security Expert,$140k,Open
fd863e09,Security Expert,$104k,Open
0769f357,Security Expert,$122k,Open
95e4d92b,Security Expert,$100k,Open
80c7e659,Security Expert,$115k,Open
c0f5e625,Security Expert,$94k,Open
d76cbae8,Security Expert,$97k,Open
87150ffa,Security Expert,$125k,Open
ae436f65,Security Expert,$82k,Open
e7f9384a,Security Expert,$95k,Open
4f901850,Security Expert,$123k,Open
7d820793,Security Expert,$96k,Open
74334fc2,Security Expert,$120k,Open
93a9e2a3,Security Expert,$123k,Open
90c11013,Security Expert,$100k,Open
1276f854,Security Expert,$117k,Open
dba4cfcb,Security Expert,$145k,Open
2f7d3a6c,Security Expert,$84k,Open
3b4209ba,Security Expert,$149k,Open
2c627d1b,Security Expert,$125k,Open
26b69e4c,Security Expert,$140k,Open
53087849,Security Expert,$115k,Open
943ec248,Security Expert,$106k,Open
690af6da,Security Expert,$92k,Open
6ca6c8ad,Security Expert,$95k,Open
2652acf3,Security Expert,$132k,Open
f2774ea7,Security Expert,$83k,Open
26bf9d15,Security Expert,$129k,Open
d45efabc,Security Expert,$116k,Open
9cf9738b,Security Expert,$145k,Open
62e3459a,Security Expert,$128k,Open
74b94ce8,Security Expert,$131k,Open
bd218e11,Security Expert,$84k,Open
6df74723,Security Expert,$81k,Open
77bfbb57,Security Expert,$113k,Open
8ff9a967,Security Expert,$84k,Open
fb4e25c2,Security Expert,$138k,Open
a6a0e42c,Security Expert,$134k,Open
1bb35e96,Security Expert,$96k,Open
54406ee9,Security Expert,$87k,Open
6f5ee47a,Security Expert,$117k,Open
36ff7edc,Security Expert,$118k,Open
ab0d1179,Security Expert,$84k,Open
6b6a55cb,Security Expert,$146k,Open
e337f889,Security Expert,$106k,Open
b6315e75,Security Expert,$86k,Open
d59374e2,Security Expert,$126k,Open
bd2029be,Security Expert,$141k,Open
65dc255b,Security Expert,$122k,Open
9be03f20,Security Expert,$142k,Open
eb68a9e9,Security Expert,$146k,Open
727afa62,Security Expert,$111k,Open
5a825616,Security Expert,$147k,Open
b734a65b,Security Expert,$121k,Open
e508583f,Security Expert,$141k,Open
115ac5de,Security Expert,$91k,Open
adc17c50,Security Expert,$95k,Open
f0e07ca2,Security Expert,$130k,Open
d184ba64,Security Expert,$126k,Open
985d730d,Security Expert,$116k,Open
1d583058,Security Expert,$140k,Open
8376dc67,Security Expert,$99k,Open
28fbcbac,Security Expert,$83k,Open
1cc7344b,Security Expert,$111k,Open
2513adfa,Security Expert,$147k,Open
e24886df,Security Expert,$86k,Open
ded2e5cd,Security Expert,$100k,Open
404017ea,Security Expert,$113k,Open
9e690dad,Security Expert,$84k,Open
64f71c5e,Security Expert,$125k,Open
f13cf553,Security Expert,$141k,Open
c253126b,Security Expert,$82k,Open
e737b7f3,Security Expert,$120k,Open
97b401a9,Security Expert,$111k,Open
003548f2,Security Expert,$99k,Open
fa7881f9,Security Expert,$110k,Open
acd92645,Security Expert,$102k,Open
e1913e05,Security Expert,$150k,Open
728812df,Security Expert,$123k,Open
81625108,Security Expert,$81k,Open
dabeae4b,Security Expert,$116k,Open
8b07adea,Security Expert,$137k,Open
cdbe44f2,Security Expert,$134k,Open
3987a5d5,Security Expert,$146k,Open
3be291b1,Security Expert,$89k,Open
91c785d9,Security Expert,$123k,Open
90b059c3,Security Expert,$80k,Open
1b6335b3,Security Expert,$116k,Open
06e3020b,Security Expert,$134k,Open
e6abd3d1,Security Expert,$98k,Open
aa20a4ea,Security Expert,$140k,Open
51e45ce0,Security Expert,$88k,Open
b068b314,Security Expert,$102k,Open
321e8831,Security Expert,$142k,Open
8511f23b,Security Expert,$119k,Open
2d4bac31,Security Expert,$125k,Open
2b85bd73,Security Expert,$121k,Open
d8644c2b,Security Expert,$96k,Open
76a87b96,Security Expert,$110k,Open
629087bc,Security Expert,$150k,Open
ddb73c51,Security Expert,$86k,Open
0f3c7549,Security Expert,$80k,Open
101e731e,Security Expert,$136k,Open
84d9578a,Security Expert,$88k,Open
fc12d286,Security Expert,$131k,Open
77b66b54,Security Expert,$123k,Open
35f1233c,Security Expert,$94k,Open
a3fbe1b7,Security Expert,$116k,Open
b975c499,Security Expert,$119k,Open
6cc37ae7,Security Expert,$124k,Open
34ccd0ff,Security Expert,$147k,Open
e85b0e07,Security Expert,$149k,Open
e34bb5b2,Security Expert,$134k,Open
fba8816f,Security Expert,$92k,Open
539d828f,Security Expert,$141k,Open
981fdc54,Security Expert,$139k,Open
5498b6d8,Security Expert,$123k,Open
3b62c518,Security Expert,$144k,Open
35470cb3,Security Expert,$109k,Open
207df1a8,Security Expert,$104k,Open
357ea02f,Security Expert,$149k,Open
035cdd0b,Security Expert,$102k,Open
14d5d48f,Security Expert,$124k,Open
ff39b6a6,Security Expert,$125k,Open
a277bafa,Security Expert,$80k,Open
492ceaca,Security Expert,$147k,Open
2bc38c6c,Security Expert,$150k,Open
2762478d,Security Expert,$149k,Open
499ae7ec,Security Expert,$96k,Open
a4742612,Security Expert,$109k,Open
0cd2c77f,Security Expert,$100k,Open
512e3437,Security Expert,$137k,Open
e0007d85,Security Expert,$138k,Open
275dc2be,Security Expert,$124k,Open
f7e06faf,Security Expert,$82k,Open
15c5e253,Security Expert,$134k,Open
d906cc92,Security Expert,$111k,Open
06e62ee1,Security Expert,$141k,Open
20ae28db,Security Expert,$135k,Open
a5b8e398,Security Expert,$111k,Open
ba1cfdc1,Security Expert,$125k,Open
544efb3e,Security Expert,$150k,Open
5e4dd8dc,Security Expert,$85k,Open
9e33d536,Security Expert,$114k,Open
dfd1914c,Security Expert,$118k,Open
c599fae1,Security Expert,$110k,Open
8abfe4f9,Security Expert,$84k,Open
fae6f856,Security Expert,$122k,Open
7eb48f6f,Security Expert,$110k,Open
c32c96c4,Security Expert,$98k,Open
4ae1f352,Security Expert,$105k,Open
d843ef8c,Security Expert,$83k,Open
f31f6121,Security Expert,$85k,Open
8aafacfc,Security Expert,$109k,Open
df61c100,Security Expert,$138k,Open
77bf96a8,Security Expert,$150k,Open
8c8c64af,Security Expert,$110k,Open
f17eac4e,Security Expert,$123k,Open
ad9274ec,Security Expert,$94k,Open
a6a3a85e,Security Expert,$149k,Open
7aa5b4e5,Security Expert,$124k,Open
227efb5b,Security Expert,$117k,Open
7fac3144,Security Expert,$90k,Open
6ba3c2ed,Security Expert,$143k,Open
954e00c7,Security Expert,$126k,Open
4af66824,Security Expert,$134k,Open
b72ff604,Security Expert,$131k,Open
84300289,Security Expert,$90k,Open
a8841239,Security Expert,$82k,Open
5409a3bf,Security Expert,$148k,Open
03edcb3b,Security Expert,$95k,Open
e701a839,Security Expert,$80k,Open
3e22750d,Security Expert,$139k,Open
b4c22c26,Security Expert,$137k,Open
31c79c54,Security Expert,$102k,Open
19a85ff8,Security Expert,$98k,Open
8d0b6b96,Security Expert,$82k,Open
4025622d,Security Expert,$143k,Open
08fdd29c,Security Expert,$84k,Open
93d0679c,Security Expert,$128k,Open
810c7f0e,Security Expert,$103k,Open
ef6c9505,Security Expert,$110k,Open
7434b9ba,Security Expert,$148k,Open
404cb15b,Security Expert,$130k,Open
c163c52d,Security Expert,$102k,Open
a252d44b,Security Expert,$109k,Open
7c178a58,Security Expert,$138k,Open
85ce2679,Security Expert,$85k,Open
2318363b,Security Expert,$112k,Open
980ac187,Security Expert,$122k,Open
39972c32,Security Expert,$148k,Open
924b8372,Security Expert,$116k,Open
6fe62f25,Security Expert,$121k,Open
6daa2174,Security Expert,$146k,Open
946dfb1d,Security Expert,$113k,Open
a9966b5e,Security Expert,$98k,Open
fc4549a7,Security Expert,$133k,Open
5e720536,Security Expert,$117k,Open
8a151210,Security Expert,$90k,Open
ed515e2a,Security Expert,$143k,Open
7629a524,Security Expert,$98k,Open
95c0742c,Security Expert,$93k,Open
5bc12409,Security Expert,$109k,Open
be11247b,Security Expert,$131k,Open
7b238821,Security Expert,$97k,Open
479e5de3,Security Expert,$124k,Open
5b7eb1d9,Security Expert,$108k,Open
c00a07a0,Security Expert,$139k,Open
6bf4d49e,Security Expert,$125k,Open
2a702708,Security Expert,$114k,Open
e3adf341,Security Expert,$122k,Open
c86e2709,Security Expert,$125k,Open
8cc89a28,Security Expert,$147k,Open
7533d49e,Security Expert,$93k,Open
642e2e4b,Security Expert,$126k,Open
01d29741,Security Expert,$118k,Open
a4a7ad26,Security Expert,$120k,Open
ab58d4ee,Security Expert,$140k,Open
4c3867c6,Security Expert,$129k,Open
62d0b5f5,Security Expert,$133k,Open
3c920f6f,Security Expert,$143k,Open
e9a1bfac,Security Expert,$82k,Open
7390ca62,Security Expert,$102k,Open
078ef175,Security Expert,$118k,Open
7cd3d647,Security Expert,$129k,Open
c9ae121b,Security Expert,$135k,Open
ce8e77e5,Security Expert,$94k,Open
d9da77ef,Security Expert,$82k,Open
e292ebc2,Security Expert,$102k,Open
842e192f,Security Expert,$128k,Open
66518b8c,Security Expert,$99k,Open
08f46566,Security Expert,$83k,Open
339f87a5,Security Expert,$88k,Open
30c94207,Security Expert,$137k,Open
57cb3b2b,Security Expert,$149k,Open
fa820c62,Security Expert,$98k,Open
57319529,Security Expert,$85k,Open
18e60f61,Security Expert,$91k,Open
4691f071,Security Expert,$94k,Open
de7b9096,Security Expert,$145k,Open
a082296d,Security Expert,$116k,Open
bc9b92ac,Security Expert,$129k,Open
6c318468,Security Expert,$128k,Open
a075a044,Security Expert,$92k,Open
c021e4ee,Security Expert,$120k,Open
c68ebbf5,Security Expert,$103k,Open
b649d2e9,Security Expert,$111k,Open
9eacebda,Security Expert,$94k,Open
2fbf6851,Security Expert,$111k,Open
80dcc228,Security Expert,$123k,Open
6c64e917,Security Expert,$97k,Open
4ca2826b,Security Expert,$133k,Open
0740bcc0,Security Expert,$146k,Open
0c615755,Security Expert,$115k,Open
8c2edd0c,Security Expert,$91k,Open
c1d00f52,Security Expert,$95k,Open
d0c1382c,Security Expert,$131k,Open
ea59be80,Security Expert,$118k,Open
77981ab1,Security Expert,$138k,Open
9a734944,Security Expert,$149k,Open
2cf479cd,Security Expert,$129k,Open
914cfc99,Security Expert,$125k,Open
a2b7a7ac,Security Expert,$136k,Open
bccda777,Security Expert,$129k,Open
