shard_id,storage_location,link_url,allocated_size
SHARD-a7d731ef-b901-4eeb-8229-6e858f2fd9ad,s3://bucket/block_40,url_40,63 GB
SHARD-a2eaa000-6bfe-43d1-8c29-74a2ee6a7306,s3://bucket/block_41,url_41,89 GB
SHARD-78c379b8-bca1-4675-ba17-3647976fbcd5,s3://bucket/block_42,url_42,17 GB
SHARD-3f6225c6-2f90-41cb-98c7-7bd06447a8ba,s3://bucket/block_43,url_43,4 GB
SHARD-5b7885b7-80c3-4446-b91f-37707f613f77,s3://bucket/block_44,url_44,78 GB
SHARD-c62f2095-26fc-4069-95f8-672424cb332b,s3://bucket/block_45,url_45,8 GB
SHARD-c8db263a-df35-40f6-9df9-28b90bc856df,s3://bucket/block_46,url_46,50 GB
SHARD-c370aae9-02b0-421b-ba62-4be304d25d06,s3://bucket/block_47,url_47,70 GB
SHARD-2ac0cfda-7206-4734-9251-dde07c49139d,s3://bucket/block_48,url_48,70 GB
SHARD-b6eb1692-265e-40f2-8fb7-a7aa08124e1a,s3://bucket/block_49,url_49,89 GB
SHARD-5d73a017-5bb6-44e6-991e-7f8dee44e6e4,s3://bucket/block_50,url_50,74 GB
SHARD-9dd666ea-01a0-47ca-aa02-b4991ebc5110,s3://bucket/block_51,url_51,61 GB
SHARD-dad94c9e-262c-46f2-8640-1777d2f4cee7,s3://bucket/block_52,url_52,61 GB
SHARD-c7b47fa3-5ac0-469a-a6b2-397d72715cbb,s3://bucket/block_53,url_53,22 GB
SHARD-5f2f490e-08b5-45a4-a9f4-59637e1a02d7,s3://bucket/block_54,url_54,33 GB
SHARD-3d1a5a9b-49c2-4b6d-ae8a-71ab42d53ac5,s3://bucket/block_55,url_55,35 GB
SHARD-a888652f-b20e-4e53-ae53-1293a7e55633,s3://bucket/block_56,url_56,41 GB
SHARD-6757aebd-b697-446b-ba6a-71a42abde71e,s3://bucket/block_57,url_57,17 GB
SHARD-c91db5c4-7572-41a7-8c8c-cbe0fc6c676c,s3://bucket/block_58,url_58,76 GB
SHARD-1cd80fff-bcc7-4c66-b470-5504fb31c8f9,s3://bucket/block_59,url_59,36 GB
SHARD-80f75364-8340-450b-bf2e-bb7d3d5ad873,s3://bucket/block_60,url_60,54 GB
SHARD-b8933ae7-3f67-4e17-accf-f40d7ee9366f,s3://bucket/block_61,url_61,89 GB
SHARD-c5af3197-58e9-410a-8f68-fd8787076ebd,s3://bucket/block_62,url_62,63 GB
SHARD-ff96f976-3bae-4818-8a04-73710615dc94,s3://bucket/block_63,url_63,38 GB
SHARD-1a4ac373-d383-4046-9eaf-cb5279c166da,s3://bucket/block_64,url_64,87 GB
SHARD-25dcd475-41ce-40b7-9d9a-310587757da7,s3://bucket/block_65,url_65,51 GB
SHARD-969da9b1-45e3-42e7-9905-d6623fd7c3da,s3://bucket/block_66,url_66,100 GB
SHARD-8445b8ae-0e7c-46f6-8012-b3565dbd3233,s3://bucket/block_67,url_67,80 GB
SHARD-2a777e17-737c-4989-b6da-6ef9880ff689,s3://bucket/block_68,url_68,64 GB
SHARD-3a9a8192-2d19-4783-b480-4a5eb32ede55,s3://bucket/block_69,url_69,79 GB
SHARD-bd8cf56d-3746-4863-870d-f78ca565ca45,s3://bucket/block_70,url_70,8 GB
SHARD-e653fcbd-67b4-4ac1-9275-97c95730280c,s3://bucket/block_71,url_71,1 GB
SHARD-d5b09a31-0227-42a6-b649-d87912315807,s3://bucket/block_72,url_72,67 GB
SHARD-dcf202f1-1c8a-4ec3-9817-e8fe6a27d6e7,s3://bucket/block_73,url_73,52 GB
SHARD-509bf091-9c23-498b-9fec-3df17eef76b3,s3://bucket/block_74,url_74,94 GB
SHARD-02b11ecc-1b86-4c38-8fc3-e697918c1eb4,s3://bucket/block_75,url_75,58 GB
SHARD-5bf1812a-5d0e-4d8f-89b5-2eca9adeeda2,s3://bucket/block_76,url_76,3 GB
SHARD-461fd664-b31e-49eb-b97e-019fb52f3051,s3://bucket/block_77,url_77,14 GB
SHARD-26c8a553-5084-4544-b056-76e6caca0e74,s3://bucket/block_78,url_78,27 GB
SHARD-0306d918-763a-4126-bf12-2ec350f30b5b,s3://bucket/block_79,url_79,90 GB
SHARD-52d6df3e-e2f7-4cba-8344-268e66312a18,s3://bucket/block_80,url_80,26 GB
SHARD-cefa1bc4-92d5-443a-9e9a-918b450cfa81,s3://bucket/block_81,url_81,8 GB
SHARD-f484164e-87c5-4423-b3fc-4de37c500088,s3://bucket/block_82,url_82,49 GB
SHARD-6ab5c883-9b0a-40ec-98be-b1728f018bea,s3://bucket/block_83,url_83,81 GB
SHARD-d80a3573-f671-4999-b0ae-7d5dd3f782cf,s3://bucket/block_84,url_84,18 GB
SHARD-90a2ea13-eabf-4ff0-acf0-05bdd0d2b0dc,s3://bucket/block_85,url_85,95 GB
SHARD-ec20d3e2-10f2-476d-a191-b7a12a1ddcd4,s3://bucket/block_86,url_86,55 GB
SHARD-fe1f1585-99cd-4e00-84d8-fe541a3beb33,s3://bucket/block_87,url_87,43 GB
SHARD-07299c0b-558e-43a4-928e-a50a4e23083b,s3://bucket/block_88,url_88,64 GB
SHARD-2eb06de5-feeb-4eda-ba64-82205ef20c57,s3://bucket/block_89,url_89,45 GB
SHARD-45d071f0-d86c-47f1-b60a-a2347e1f3642,s3://bucket/block_90,url_90,22 GB
SHARD-7c250e30-1cbb-4144-adaa-ecabdc21f062,s3://bucket/block_91,url_91,36 GB
SHARD-6e27ff61-dbd6-4924-947e-28bed8310edd,s3://bucket/block_92,url_92,3 GB
SHARD-4d617cc3-b037-4738-89b4-069c7eb6dd09,s3://bucket/block_93,url_93,5 GB
SHARD-508f0d6c-ce9e-47c3-b829-93a6ec9b4828,s3://bucket/block_94,url_94,83 GB
SHARD-95f3b578-0bf4-4113-b7d8-fbce1c1229d9,s3://bucket/block_95,url_95,91 GB
SHARD-9946ed36-4fc7-4edd-a3be-f0cc36f475d1,s3://bucket/block_96,url_96,86 GB
SHARD-5461fe5f-5c83-4b19-a2cb-0747b65e8155,s3://bucket/block_97,url_97,81 GB
SHARD-8f9a7754-bb51-4411-99f7-b83424e81de0,s3://bucket/block_98,url_98,86 GB
SHARD-7489fbba-2eb8-40ff-aa42-c2e3ae06d8bc,s3://bucket/block_99,url_99,77 GB
SHARD-477051e0-4638-4189-ac2a-47c3b5cd38bc,s3://bucket/block_100,url_100,54 GB
SHARD-136c7864-592a-4076-8561-24a7c5059f8c,s3://bucket/block_101,url_101,14 GB
SHARD-081470c2-8e1e-4403-8b17-fa2870536f70,s3://bucket/block_102,url_102,72 GB
SHARD-8d7082b8-4bf5-4def-a831-2f24c890e866,s3://bucket/block_103,url_103,4 GB
SHARD-017ca035-974c-41d5-92aa-7696f71dd3b0,s3://bucket/block_104,url_104,25 GB
SHARD-cb74c427-64f9-4d30-97af-57cdd6169e17,s3://bucket/block_105,url_105,56 GB
SHARD-0e63a05e-08f7-4843-b627-0d89a1e98ea5,s3://bucket/block_106,url_106,68 GB
SHARD-f27efcbd-6b01-4ff6-9d21-a1b52766ff01,s3://bucket/block_107,url_107,54 GB
SHARD-ad2ba814-396b-4b4d-b676-3855024aba17,s3://bucket/block_108,url_108,39 GB
SHARD-4ab4e280-eedc-4ab1-8f22-2bb0493b49d0,s3://bucket/block_109,url_109,38 GB
SHARD-114d692d-4268-4db5-ba25-fd1a66514c9c,s3://bucket/block_110,url_110,100 GB
SHARD-3f5cab9c-522c-4f9d-80f3-00569f00e5b3,s3://bucket/block_111,url_111,84 GB
SHARD-60383762-5f5d-4c21-a4a0-5552a9b4908c,s3://bucket/block_112,url_112,12 GB
SHARD-bdc517a5-29ae-4fbf-b1f7-9d1483a7535a,s3://bucket/block_113,url_113,45 GB
SHARD-fc6e0ba2-2fb8-475c-926f-c57d5dec4b3b,s3://bucket/block_114,url_114,9 GB
SHARD-5bebdcef-bf18-4f23-900e-1e603ac4b2ca,s3://bucket/block_115,url_115,83 GB
SHARD-6eecfa4f-7165-4b15-89eb-27bde5bc6dd1,s3://bucket/block_116,url_116,100 GB
SHARD-3f6621da-5868-4f43-8fbb-ca0736cd10bf,s3://bucket/block_117,url_117,31 GB
SHARD-05293f26-9144-436c-81d4-ba24eb4e11eb,s3://bucket/block_118,url_118,95 GB
SHARD-7b592900-f745-49b5-9502-a771de5128bc,s3://bucket/block_119,url_119,49 GB
SHARD-c22c370b-6009-4adb-9e77-ce92b1ed1af5,s3://bucket/block_120,url_120,59 GB
SHARD-14514289-a77a-4b12-945a-250bd25750ce,s3://bucket/block_121,url_121,3 GB
SHARD-a9a477ea-88c0-414b-bb85-ac770953ff34,s3://bucket/block_122,url_122,77 GB
SHARD-ee2de8ce-0858-429d-beb2-838cc9aa4f1c,s3://bucket/block_123,url_123,44 GB
SHARD-68c2c4c2-3eb3-4e42-8fe2-2bdcf72e0ccc,s3://bucket/block_124,url_124,81 GB
SHARD-37b7d4ae-19f9-4ac5-9593-17c9a78cb68d,s3://bucket/block_125,url_125,99 GB
SHARD-f227d2cc-bb90-4919-a832-b1159af0c2e2,s3://bucket/block_126,url_126,18 GB
SHARD-02980b66-a02e-4f5c-b169-3b8d82711813,s3://bucket/block_127,url_127,11 GB
SHARD-0689969c-ea26-4e8c-b53d-cc44114440fb,s3://bucket/block_128,url_128,82 GB
SHARD-8eda4877-ac9a-446f-b547-9fcdd29c0d92,s3://bucket/block_129,url_129,81 GB
SHARD-4effbe35-ec83-488d-81e6-003fb1925994,s3://bucket/block_130,url_130,61 GB
SHARD-f5a51481-cfad-4e5c-9caf-2a6f9327d2a4,s3://bucket/block_131,url_131,33 GB
SHARD-4a0335e6-9598-4ef9-b104-c87eadd39709,s3://bucket/block_132,url_132,31 GB
SHARD-eac03506-da32-42ce-b168-53c6128f2df1,s3://bucket/block_133,url_133,96 GB
SHARD-b8d4d7eb-f69a-478c-a46f-67c9c775b03d,s3://bucket/block_134,url_134,49 GB
SHARD-5ea9328a-6b65-45c8-a67a-5eda8ed4fcc1,s3://bucket/block_135,url_135,44 GB
SHARD-0a3f633e-a13e-48f7-850f-f74911f0cc29,s3://bucket/block_136,url_136,76 GB
SHARD-9747ce5e-2718-45e3-94b6-86c499f4bb56,s3://bucket/block_137,url_137,80 GB
SHARD-7b7e6d32-35c6-428e-81b4-b5834ee5b8e2,s3://bucket/block_138,url_138,11 GB
SHARD-88c693ea-09d8-4e43-a602-5680b25c7627,s3://bucket/block_139,url_139,100 GB
SHARD-79259247-2efc-4f20-a4cb-2fb89c6b6c82,s3://bucket/block_140,url_140,12 GB
SHARD-5fbfced0-bd48-4b30-9d1a-afcec5fe1a09,s3://bucket/block_141,url_141,9 GB
SHARD-918a94eb-139d-4390-83bc-dcab0954392a,s3://bucket/block_142,url_142,21 GB
SHARD-b30c09fe-2e59-4954-9481-4f3ef8994f97,s3://bucket/block_143,url_143,23 GB
SHARD-54e6b77b-da21-4709-ac97-5ad2d78701ad,s3://bucket/block_144,url_144,11 GB
SHARD-46eb0d10-5109-44d1-8d97-e762f29a27b5,s3://bucket/block_145,url_145,60 GB
SHARD-dcff31c5-3904-4924-ad96-082046a77881,s3://bucket/block_146,url_146,39 GB
SHARD-83b2d444-a87e-4530-9ab2-0c2011059f88,s3://bucket/block_147,url_147,85 GB
SHARD-fdd8f93d-0e0d-4242-b51f-b488542b2cc3,s3://bucket/block_148,url_148,82 GB
SHARD-54917cc3-3636-4cc0-ab57-6fee07ee7f3a,s3://bucket/block_149,url_149,69 GB
SHARD-63943ec8-ae23-46b1-ad00-756b63b76786,s3://bucket/block_150,url_150,72 GB
SHARD-b1466c01-ee8b-4d24-8ad4-331187360b4c,s3://bucket/block_151,url_151,72 GB
SHARD-9877145b-4da4-449c-9e64-617a4d0275d5,s3://bucket/block_152,url_152,22 GB
SHARD-2ffe7bd9-80d3-4a7c-ae62-2042a2a03c40,s3://bucket/block_153,url_153,47 GB
SHARD-481491c4-8f25-4d16-b380-94a6608967b0,s3://bucket/block_154,url_154,28 GB
SHARD-64a71e26-9182-49cb-a8dd-a1e931c94bf0,s3://bucket/block_155,url_155,18 GB
SHARD-d7f3fc37-8906-4187-b32c-8e7b14c805ed,s3://bucket/block_156,url_156,83 GB
SHARD-40840dfa-b11b-4a35-bf92-83066b8ccf6d,s3://bucket/block_157,url_157,67 GB
SHARD-1cab9616-413e-4b6b-b879-ebad11c9c166,s3://bucket/block_158,url_158,83 GB
SHARD-28a3e1b5-bb68-46f5-810f-f295cd911dca,s3://bucket/block_159,url_159,52 GB
SHARD-c53d5574-008a-4ec8-ba19-74d9b625b0ca,s3://bucket/block_160,url_160,56 GB
SHARD-3f2df54a-9575-4d03-96c7-5e92cc27327b,s3://bucket/block_161,url_161,54 GB
SHARD-231aaa72-f050-4e25-929e-8461943fd249,s3://bucket/block_162,url_162,96 GB
SHARD-9e2bc2fd-1cf3-4619-a2e4-40eae9eeb8e6,s3://bucket/block_163,url_163,33 GB
SHARD-44af5b52-7238-40c6-ae55-074910046056,s3://bucket/block_164,url_164,78 GB
SHARD-af4f932b-99b4-487a-9826-476e478554b3,s3://bucket/block_165,url_165,9 GB
SHARD-53289c38-e579-4c00-9aa7-cdbde18093cb,s3://bucket/block_166,url_166,65 GB
SHARD-a95b7254-7b06-4c7a-8912-606ea6378845,s3://bucket/block_167,url_167,3 GB
SHARD-ffc7f3fd-e13a-465b-ad0d-aeb135437eed,s3://bucket/block_168,url_168,32 GB
SHARD-4307ffa9-0a85-4b9d-8b0c-585c09aa632b,s3://bucket/block_169,url_169,41 GB
SHARD-7384825b-13ef-46b4-b64d-1480c36a56b7,s3://bucket/block_170,url_170,67 GB
SHARD-d268298e-0916-4f9a-8531-023a73a7ad2a,s3://bucket/block_171,url_171,32 GB
SHARD-a55a3154-b56f-4000-a711-8d05f61132a5,s3://bucket/block_172,url_172,53 GB
SHARD-bc7fc0f4-3788-491a-ad36-5d39fff5b820,s3://bucket/block_173,url_173,68 GB
SHARD-40f5defe-4ee7-4f94-860e-9a3c5213ee71,s3://bucket/block_174,url_174,85 GB
SHARD-fcfe1116-381f-4e32-96b3-b285891d8745,s3://bucket/block_175,url_175,40 GB
SHARD-5025d06a-8c3a-482e-b1d3-7353597b46bb,s3://bucket/block_176,url_176,91 GB
SHARD-ef95d84d-b444-46c4-9297-7bc36b62fb93,s3://bucket/block_177,url_177,52 GB
SHARD-1cd4aec3-5864-4f3d-9221-d889ea25c4bd,s3://bucket/block_178,url_178,74 GB
SHARD-459393f7-ed55-41f8-b888-a110db928b81,s3://bucket/block_179,url_179,62 GB
SHARD-6ec179ca-5ba8-45cf-a6c4-d0edec3facb3,s3://bucket/block_180,url_180,38 GB
SHARD-c814c270-9d78-4cac-86f4-acd955812795,s3://bucket/block_181,url_181,100 GB
SHARD-cad90883-5980-4585-ae4f-28f6cef32612,s3://bucket/block_182,url_182,20 GB
SHARD-4cfcf9c5-59d8-41d9-9bd9-a5ae772eaa3a,s3://bucket/block_183,url_183,58 GB
SHARD-dcdf3997-63c7-4f4e-bf35-c8a3e4730969,s3://bucket/block_184,url_184,86 GB
SHARD-82325f09-ac2b-4439-9ad0-28798234d5e1,s3://bucket/block_185,url_185,98 GB
SHARD-2d6e49ad-ba0b-4df9-9540-3a9ce60ca99b,s3://bucket/block_186,url_186,76 GB
SHARD-fe59f101-4ba1-4317-8e06-9ba88c984639,s3://bucket/block_187,url_187,16 GB
SHARD-b995b545-0ea5-4dc6-92d7-f4b1e488ef29,s3://bucket/block_188,url_188,35 GB
SHARD-13806e38-d401-4565-bb13-75931af405de,s3://bucket/block_189,url_189,69 GB
SHARD-5685b370-f143-446d-b5be-f1eef5173142,s3://bucket/block_190,url_190,49 GB
SHARD-02596eb8-1567-4b05-b87e-2baf59fefc1a,s3://bucket/block_191,url_191,15 GB
SHARD-1b34fe9b-8c1b-4525-ab9c-c43204e7da3c,s3://bucket/block_192,url_192,50 GB
SHARD-25f2e95a-622c-4f96-a84d-85e59047cb49,s3://bucket/block_193,url_193,20 GB
SHARD-f05f928c-7aa8-4651-b0dc-27d760ed20b1,s3://bucket/block_194,url_194,2 GB
SHARD-981b2ee1-d60c-4b97-add0-d2c6083212e5,s3://bucket/block_195,url_195,10 GB
SHARD-9d473097-0520-4a4d-9bfc-788bfd7fb035,s3://bucket/block_196,url_196,30 GB
SHARD-d768b1e2-2383-470e-8907-1607f25fe8b8,s3://bucket/block_197,url_197,3 GB
SHARD-f8b7b901-5abd-49b7-a6ac-2da8f7f4a819,s3://bucket/block_198,url_198,100 GB
SHARD-e812b3cf-9b42-4c94-bf36-45c585e7919a,s3://bucket/block_199,url_199,81 GB
SHARD-5678d8c7-796b-40c1-a515-4bef68047d9d,s3://bucket/block_200,url_200,48 GB
SHARD-31ae7a32-0ed6-4e38-bab3-577268c8cf06,s3://bucket/block_201,url_201,90 GB
SHARD-88cac00d-a9d8-46cd-9b0d-fc5c0268bae9,s3://bucket/block_202,url_202,71 GB
SHARD-ce429795-e4e2-4c50-b224-302cccb31504,s3://bucket/block_203,url_203,2 GB
SHARD-bef42e52-55a6-4415-a407-b3f00c905a43,s3://bucket/block_204,url_204,63 GB
SHARD-fb3b061e-216f-42a5-8c07-05947936500c,s3://bucket/block_205,url_205,41 GB
SHARD-457caf35-347f-4309-bdc3-dba861304bad,s3://bucket/block_206,url_206,20 GB
SHARD-dec8ba5e-f120-4b31-a7f0-c13ca303dedb,s3://bucket/block_207,url_207,48 GB
SHARD-6f9a94f6-0fac-40e0-8e6e-4db3d7158496,s3://bucket/block_208,url_208,67 GB
SHARD-fc3dbb18-ec4a-48c7-a99f-d21a99452e6f,s3://bucket/block_209,url_209,56 GB
SHARD-a400ffb6-3ea6-44ce-9838-472dd8313089,s3://bucket/block_210,url_210,35 GB
SHARD-fb1c759f-251f-4f9b-858f-c551ee523678,s3://bucket/block_211,url_211,40 GB
SHARD-e7795d27-ff78-494f-a045-4542bc7c660f,s3://bucket/block_212,url_212,16 GB
SHARD-9dba7f91-4045-4e05-b5d5-c3eb5194283e,s3://bucket/block_213,url_213,34 GB
SHARD-abdc7b14-4c9d-48b1-9722-d0fbd3509474,s3://bucket/block_214,url_214,95 GB
SHARD-95dfa61f-5e18-40f8-8f6b-4cdcf9eba04e,s3://bucket/block_215,url_215,69 GB
SHARD-7695a602-32d6-41c7-8e47-f2d5c8dde294,s3://bucket/block_216,url_216,58 GB
SHARD-9d476676-9a84-41c9-8128-d266a39411ac,s3://bucket/block_217,url_217,41 GB
SHARD-db366bc1-f012-453c-9c85-5e6d93b8b344,s3://bucket/block_218,url_218,80 GB
SHARD-ffb8db8f-83c1-4402-b66e-3ceaf825b7f5,s3://bucket/block_219,url_219,13 GB
SHARD-2645a656-cf78-40b7-a804-36db02debf7d,s3://bucket/block_220,url_220,54 GB
SHARD-dcbf5167-467e-4522-b9c6-2422cc9be819,s3://bucket/block_221,url_221,6 GB
SHARD-78f0a94e-e437-415e-8861-5f79e8fcd549,s3://bucket/block_222,url_222,41 GB
SHARD-3f0043bf-ae72-4c5e-8b31-5a5a6829de55,s3://bucket/block_223,url_223,8 GB
SHARD-812c0474-021c-4ef7-8c4b-ee5b74006a26,s3://bucket/block_224,url_224,43 GB
SHARD-34b3cd0a-c4d2-4d4b-8736-33b636feb015,s3://bucket/block_225,url_225,36 GB
SHARD-e7e86684-b891-46a2-bae5-c8d41986d19b,s3://bucket/block_226,url_226,50 GB
SHARD-0d9bbe94-25f5-44a1-921d-c477385daabd,s3://bucket/block_227,url_227,74 GB
SHARD-09d1cac3-615d-4a75-b594-bd179e141cfa,s3://bucket/block_228,url_228,55 GB
SHARD-d7486838-b0d1-4c82-b181-443f348c8595,s3://bucket/block_229,url_229,38 GB
SHARD-b68fd3a5-da0c-4aa6-8a3b-5a0da9e912b5,s3://bucket/block_230,url_230,98 GB
SHARD-6fcee5e0-c60f-4353-90b3-2625cf9c7c12,s3://bucket/block_231,url_231,14 GB
SHARD-8afd90b6-b7c5-48e0-9482-24e1aa11c517,s3://bucket/block_232,url_232,38 GB
SHARD-d433c79f-c7f1-4497-9daa-034144379ec7,s3://bucket/block_233,url_233,53 GB
SHARD-15690512-11cc-4da0-9e45-a17a64fcbaf9,s3://bucket/block_234,url_234,70 GB
SHARD-4022f233-77a6-4979-a0c3-5a8cd0485c4e,s3://bucket/block_235,url_235,56 GB
SHARD-e0aadc4d-1de4-4133-9d12-cb8ea312f865,s3://bucket/block_236,url_236,43 GB
SHARD-2be7a6c2-fbc4-432f-93b3-4341b11d8bd2,s3://bucket/block_237,url_237,29 GB
SHARD-32143b1c-384e-4d99-a408-241cc86179a7,s3://bucket/block_238,url_238,93 GB
SHARD-27bc5598-33f2-49bc-a38e-488ba618ce26,s3://bucket/block_239,url_239,71 GB
SHARD-7092ecc2-c48c-4195-9f3a-77ffe247e406,s3://bucket/block_240,url_240,98 GB
SHARD-82f027bd-14e1-46fa-90e5-b12cc46899a9,s3://bucket/block_241,url_241,9 GB
SHARD-e9815fd0-f84b-42fe-a59c-29d540d033fc,s3://bucket/block_242,url_242,15 GB
SHARD-091f6210-fef6-46a6-ba69-9bffcdfb4d96,s3://bucket/block_243,url_243,32 GB
SHARD-459c2b2d-3e2e-4e09-8c63-89fe8392739a,s3://bucket/block_244,url_244,100 GB
SHARD-2152c25c-3e05-4c18-8394-5c17bc5e3a1a,s3://bucket/block_245,url_245,68 GB
SHARD-3698edd5-1d23-4d69-a279-321ebb6d6534,s3://bucket/block_246,url_246,89 GB
SHARD-6cecc76e-d2ad-4446-b275-1b0d1bb0c72c,s3://bucket/block_247,url_247,48 GB
SHARD-31b56219-1c67-4478-8a5d-8dcb211ef770,s3://bucket/block_248,url_248,1 GB
SHARD-82ac3d2e-8a78-4a4b-a80a-ed0bbb70516e,s3://bucket/block_249,url_249,64 GB
SHARD-c1ec4ee9-94d7-4b24-af39-8b126db5687f,s3://bucket/block_250,url_250,69 GB
SHARD-97ab0a40-2d1a-4b41-8dcf-b1eef49af144,s3://bucket/block_251,url_251,38 GB
SHARD-3ae58648-1f2c-4b3f-ae5a-95a3fc741f15,s3://bucket/block_252,url_252,28 GB
SHARD-d13f3abc-66c3-4388-a2df-6a4cf58f3a71,s3://bucket/block_253,url_253,48 GB
SHARD-030343d0-3540-4703-9c93-5840e0a52dbf,s3://bucket/block_254,url_254,16 GB
SHARD-a98f227d-96c9-4c54-a89d-53ce670c015e,s3://bucket/block_255,url_255,95 GB
SHARD-8725d760-1849-41e5-be89-bc3b65198aeb,s3://bucket/block_256,url_256,64 GB
SHARD-f58d3bb3-c5f9-4121-bcab-6eaaf4082c41,s3://bucket/block_257,url_257,100 GB
SHARD-41bd82ba-7a20-4bc1-a019-9dcbb4c3aaf7,s3://bucket/block_258,url_258,70 GB
SHARD-0cdc389e-a787-4f43-9cd5-1a30802562c8,s3://bucket/block_259,url_259,65 GB
SHARD-26c24735-d222-4981-8e9b-cddc25cc4430,s3://bucket/block_260,url_260,74 GB
SHARD-878a236e-38b1-4661-80cf-1c8e0b998736,s3://bucket/block_261,url_261,2 GB
SHARD-28a5cae7-0b00-4328-9a05-3cb07c268d38,s3://bucket/block_262,url_262,52 GB
SHARD-b95e2d93-04fe-4f00-ace0-47caef7d0cc1,s3://bucket/block_263,url_263,86 GB
SHARD-05167d88-188e-4090-93b3-450df33fb917,s3://bucket/block_264,url_264,77 GB
SHARD-0ba187e0-0c06-4f32-a484-84b94f6f554e,s3://bucket/block_265,url_265,97 GB
SHARD-2626e9c6-1b75-41f7-a289-c73d6d941e89,s3://bucket/block_266,url_266,63 GB
